2,3,3,1,1,2,0,1,5,4
2,1,1,1,3,0,1,1,5,5
2,2,1,1,3,0,1,1,4,2
2,2,1,1,3,0,0,1,2,3
2,5,3,1,3,3,0,4,9,5
2,5,9,1,1,2,0,5,13,6
2,3,5,1,3,0,0,1,1,14
2,4,7,0,1,1,0,2,9,3
3,5,17,1,1,2,0,5,14,19
2,4,7,1,1,2,0,4,11,4
2,4,6,0,1,1,0,3,12,4
3,3,1,1,4,0,0,1,3,2
3,3,1,1,4,0,0,2,9,9
2,4,9,1,4,0,0,4,4,21
2,5,18,1,3,1,0,3,18,12
2,3,1,1,3,0,0,2,4,1
2,4,1,1,3,0,0,2,2,6
2,5,16,1,1,1,0,3,11,20
2,4,6,1,1,2,0,2,17,12
2,3,3,1,1,2,0,1,4,6
2,2,2,1,1,1,0,1,15,21
3,1,10,1,1,2,0,5,1,27
2,4,3,1,1,2,0,4,22,26
2,3,3,1,1,2,0,1,25,36
3,4,12,0,4,1,1,2,20,8
2,4,13,0,4,1,1,3,21,6
2,4,14,1,1,2,0,3,10,19
2,1,20,0,1,1,0,1,5,33
2,3,3,1,4,2,1,3,17,16
2,4,3,1,1,2,0,2,9,2
3,5,19,1,4,2,1,5,11,31
2,4,14,0,4,3,1,3,6,30
2,2,3,0,1,1,0,1,16,22
2,4,6,1,1,2,0,3,10,3
2,1,7,1,4,0,1,4,17,13
2,4,3,1,4,3,1,4,5,12
2,2,3,1,3,3,1,2,6,5
4,1,18,1,1,2,0,5,22,0
2,4,7,1,1,3,0,2,8,10
2,4,3,1,3,3,0,4,17,12
2,4,3,1,3,2,0,3,10,1
2,3,7,1,3,0,1,1,3,13
2,3,4,1,4,0,1,2,1,13
2,3,3,1,1,3,0,5,18,16
2,4,14,1,3,3,0,3,16,11
2,1,1,1,4,0,0,3,2,5
1,1,1,1,1,0,1,1,1,2
2,4,3,1,1,3,0,4,18,16
2,1,22,1,1,3,0,2,17,19
2,1,22,0,1,2,0,2,9,32
4,4,8,0,4,2,1,4,22,17
5,2,7,0,5,2,0,2,9,4
2,4,4,0,1,0,0,1,3,6
2,4,3,1,1,3,0,2,7,4
2,1,21,1,1,3,0,4,18,17
2,4,4,0,1,3,0,3,1,18
3,5,10,1,4,0,1,2,1,26
2,4,7,1,3,0,0,3,7,9
2,5,11,1,2,3,0,4,12,14
2,2,3,0,1,2,0,1,16,20
2,2,3,1,1,3,0,5,18,17
2,2,3,1,1,2,0,2,9,4
2,1,1,1,4,0,1,3,1,6
2,1,7,1,1,2,1,2,19,18
